CVE,Published,Modified,Status
CVE-2024-5459,2024-06-05T13:15:13.437,2024-06-05T13:15:13.437,Received
CVE-2024-5439,2024-06-05T08:15:10.210,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-36393,2024-06-06T09:15:14.420,2024-06-06T09:15:14.420,Received
CVE-2024-36394,2024-06-06T09:15:14.660,2024-06-06T09:15:14.660,Received
CVE-2024-5038,2024-06-06T11:15:48.770,2024-06-06T11:15:48.770,Received
CVE-2024-5006,2024-06-05T08:15:09.983,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-5001,2024-06-06T02:15:54.283,2024-06-06T02:15:54.283,Received
CVE-2024-5037,2024-06-05T18:15:11.747,2024-06-05T18:15:11.747,Received
CVE-2024-4008,2024-06-05T18:15:11.113,2024-06-05T18:15:11.113,Received
CVE-2024-4009,2024-06-05T18:15:11.420,2024-06-05T18:15:11.420,Received
CVE-2024-4088,2024-06-05T07:15:45.910,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-4001,2024-06-05T11:15:08.490,2024-06-05T12:53:50.240,Undergoing Analysis
CVE-2024-21887,2024-01-12T17:15:10.017,2024-01-22T17:15:09.523,Undergoing Analysis
CVE-2024-33764,2024-05-01T03:15:07.320,2024-05-01T13:02:20.750,Undergoing Analysis
CVE-2024-27370,2024-06-05T19:15:12.473,2024-06-05T19:15:12.473,Received
CVE-2024-27371,2024-06-05T19:15:12.687,2024-06-05T19:15:12.687,Received
CVE-2024-27376,2024-06-05T19:15:13.767,2024-06-05T19:15:13.767,Received
CVE-2024-27377,2024-06-05T19:15:13.967,2024-06-05T19:15:13.967,Received
CVE-2024-27382,2024-06-05T19:15:14.957,2024-06-05T19:15:14.957,Received
CVE-2024-27381,2024-06-05T19:15:14.760,2024-06-05T19:15:14.760,Received
CVE-2024-27378,2024-06-05T19:15:14.170,2024-06-05T19:15:14.170,Received
CVE-2024-27374,2024-06-05T19:15:13.347,2024-06-05T19:15:13.347,Received
CVE-2024-27375,2024-06-05T19:15:13.557,2024-06-05T19:15:13.557,Received
CVE-2024-27379,2024-06-05T19:15:14.370,2024-06-05T19:15:14.370,Received
CVE-2024-27380,2024-06-05T19:15:14.570,2024-06-05T19:15:14.570,Received
CVE-2024-27372,2024-06-05T19:15:12.893,2024-06-05T19:15:12.893,Received
CVE-2024-27373,2024-06-05T19:15:13.143,2024-06-05T19:15:13.143,Received
CVE-2024-35674,2024-06-05T17:15:13.543,2024-06-05T17:15:13.543,Received
CVE-2024-35673,2024-06-05T14:15:13.680,2024-06-05T14:15:13.680,Received
CVE-2024-4458,2024-06-06T04:15:12.483,2024-06-06T04:15:12.483,Received
CVE-2024-4459,2024-06-06T04:15:12.717,2024-06-06T04:15:12.717,Received
